trip_name,phone_booking,phone_care,route_name
CYIZI-NYAMAGABE,0722669659/0722588690,0788881090/0788682824,HUYE-NYAMAGABE
HUYE-CYIZI,0722669659/0722588690,0788881090/0788682824,HUYE-NYAMAGABE
HUYE-GASARENDA,0722669659/0722588690,0788881090/0788682824,HUYE-NYAMAGABE
HUYE-KARAMBI,0722669659/0722588690,0788881090/0788682824,HUYE-NYAMAGABE
HUYE-NYAMAGABE,0722669659/0722588690,0788881090/0788682824,HUYE-NYAMAGABE
KARAMBI-NYAMAGABE,0722669659/0722588690,0788881090/0788682824,HUYE-NYAMAGABE
KIZA-NYAMAGABE,0722669659/0722588690,0788881090/0788682824,HUYE-NYAMAGABE
KOBIL-NYAMAGABE,0722669659/0722588690,,HUYE-NYAMAGABE
NYAMAGABE-GASARENDA,0722669659/0722588690,0788881090/0788682824,HUYE-NYAMAGABE
